VisualID,Domain,Frequency,Temperature,Tile,UID,Vmin
D1324AJ200068,Nonsystolic,1600,80,1,EU2_T1,0.710
D1324AJ200068,Nonsystolic,1600,80,1,EU4_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU6_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU8_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU10_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU12_T1,0.720
D1324AJ200068,Nonsystolic,1600,80,1,EU14_T1,0.720
D1324AJ200068,Base,1200,80,0,BASE2_T0,0.750
D1324AJ200068,Base,1200,80,1,BASE2_T1,0.770
D1324AJ200068,Base,1600,80,0,BASE2_T0,0.920
D1324AJ200068,Base,1600,80,1,BASE2_T1,0.940
